hhid,sectionb3,sectionb4,sectionb5,sectionb6,sectionb7,sectionb8,sectionb9,sectionb10,sectionb11,sectionb12,sectionb13,sectionb14,sectionb15
245,teuf(infertile),0,,,,0,,,,1,2,kert,.5
246,lem (fertile),0,,,,0,,,,0,,,
246,lem-teuf,0,,,,0,,,,2,6,kert,1.5
246,teuf(infertile),0,,,,0,,,,0,,,
247,lem (fertile),1,2,kert,.5,0,,,,0,,,
247,lem-teuf,1,2,kert,.5,0,,,,0,,,
247,teuf(infertile),1,7,kert,.5,0,,,,0,,,
248,lem (fertile),0,,,,0,,,,0,,,
248,lem-teuf,2,6,kert,1.5,0,,,,1,2,kert,.5
248,teuf(infertile),0,,,,0,,,,0,,,
249,lem (fertile),2,6,kert,1.5,1,7,kert,1.75,0,,,
249,lem-teuf,1,3,kert,.75,0,,,,0,,,
249,teuf(infertile),1,3,kert,.75,0,,,,0,,,
250,lem (fertile),1,12,kert,3,0,,,,0,,,
250,lem-teuf,0,,,,0,,,,0,,,
250,teuf(infertile),0,,,,0,,,,0,,,
251,lem (fertile),2,25,kert,6.25,0,,,,0,,,
251,lem-teuf,0,,,,0,,,,0,,,
251,teuf(infertile),1,5,kert,1.25,0,,,,0,,,
252,lem (fertile),1,2,kert,.5,0,,,,0,,,
252,lem-teuf,1,2,kert,.5,0,,,,3,6,kert,1.5
252,teuf(infertile),1,2,kert,.5,0,,,,0,,,
253,lem (fertile),4,8,kert,2,0,,,,0,,,
253,lem-teuf,1,4,kert,1,0,,,,0,,,
253,teuf(infertile),0,,,,0,,,,0,,,
254,lem (fertile),0,,,,0,,,,0,,,
254,lem-teuf,1,6,kert,1.5,0,,,,0,,,
254,teuf(infertile),0,,,,0,,,,0,,,
255,lem (fertile),4,10,kert,2.5,0,,,,0,,,
255,lem-teuf,1,2,kert,.5,0,,,,0,,,
255,teuf(infertile),4,9,kert,2.25,0,,,,0,,,
256,lem (fertile),1,4,kert,1,0,,,,0,,,
256,lem-teuf,1,2,kert,.5,0,,,,0,,,
256,teuf(infertile),1,4,kert,1,0,,,,0,,,
257,lem (fertile),0,,,,0,,,,1,4,kert,1
257,lem-teuf,0,,,,0,,,,1,4,kert,1
257,teuf(infertile),0,,,,0,,,,0,,,
258,lem (fertile),2,6,kert,1.5,0,,,,0,,,
258,lem-teuf,2,4,kert,1,0,,,,0,,,
258,teuf(infertile),0,,,,0,,,,0,,,
259,lem (fertile),1,6,hectare,4,6,1,kedema,2,8,6,kedema,0
259,lem-teuf,2,8,kert,2,0,,,,2,4,kert,1
259,teuf(infertile),0,,,,0,,,,0,,,
260,lem (fertile),2,8,kert,2,0,,,,0,,,
260,lem-teuf,2,8,kert,2,0,,,,0,,,
260,teuf(infertile),0,,,,0,,,,6,12,kert,3
262,lem (fertile),2,4,kert,1,0,,,,0,64,,
262,lem-teuf,4,7,kert,1.75,0,,,,0,,,
262,teuf(infertile),0,,,,0,,,,0,,,
263,lem (fertile),1,2,kert,.5,0,,,,2,12,kert,3
263,lem-teuf,2,4,kert,1,0,,,,2,5,kert,1.25
263,teuf(infertile),0,,,,0,,,,0,,,
264,lem (fertile),2,3,kert,.75,0,,,,0,,,
264,lem-teuf,1,3,kert,.75,0,,,,0,,,
264,teuf(infertile),0,,,,0,,,,0,,,
265,lem (fertile),2,4,kert,1,0,,,,0,,,
265,lem-teuf,1,4,kert,1,0,,,,3,10,kert,2.5
265,teuf(infertile),0,,,,0,,,,0,,,
266,lem (fertile),0,,,,0,,,,0,,,
266,lem-teuf,1,2,kert,.5,0,,,,5,23,kert,5.75
266,teuf(infertile),0,,,,0,,,,0,,,
267,lem (fertile),1,2,kert,.5,0,,,,0,,,
267,lem-teuf,1,2,kert,.5,0,,,,0,,,
267,teuf(infertile),2,4,kert,1,0,,,,1,2,kert,.5
268,lem (fertile),2,14,kert,3.5,0,,,,0,,,
268,lem-teuf,5,31,kert,7.75,0,,,,1,16,kert,4
268,teuf(infertile),1,8,kert,2,0,,,,0,,,
269,lem (fertile),0,,,,0,,,,0,,,
269,lem-teuf,2,10,kert,2.5,1,2,kert,.5,1,2,kert,.5
269,teuf(infertile),3,12,kert,3,0,,,,0,,,
270,lem (fertile),1,6,kert,1.5,0,,,,0,,,
270,lem-teuf,3,8,kert,2,0,,,,0,,,
270,teuf(infertile),0,,,,0,,,,0,,,
271,lem (fertile),1,4,kert,1,0,,,,0,,,
271,lem-teuf,1,5,kert,1.25,0,,,,0,,,
271,teuf(infertile),1,3,kert,.75,0,,,,0,,,
360,lem (fertile),0,,,,0,,,,0,,,
360,lem-teuf,3,10,kert,2.5,0,,,,0,,,
360,teuf(infertile),2,8,kert,2,0,,,,0,,,
272,lem (fertile),1,3,kert,.75,0,,,,0,,,
272,lem-teuf,0,,,,0,,,,1,2,kert,.5
272,teuf(infertile),0,,,,0,,,,1,4,kert,1
273,lem (fertile),2,2,kert,.5,0,,,,1,1,kert,.25
273,lem-teuf,1,1,kert,.25,0,,,,2,2,kert,.5
273,teuf(infertile),0,,,,0,,,,0,,,
274,lem (fertile),2,6,kert,1.5,1,3,kert,.75,0,,,
274,lem-teuf,2,4,kert,1,0,,,,0,,,
274,teuf(infertile),0,,,,0,,,,0,,,
275,lem (fertile),0,,,,0,,,,0,,,
275,lem-teuf,3,8,kert,2,0,,,,0,,,
275,teuf(infertile),2,6,kert,1.5,0,,,,0,,,
276,lem (fertile),0,,,,0,,,,0,,,
276,lem-teuf,1,19,kert,4.75,0,,,,0,,,
276,teuf(infertile),0,,,,0,,,,0,,,
277,lem (fertile),0,,,,0,,,,0,,,
277,lem-teuf,2,6,kert,1.5,0,,,,1,2,kert,.5
277,teuf(infertile),0,,,,0,,,,0,,,
278,lem (fertile),0,,,,0,,,,0,,,
278,lem-teuf,1,3,kert,.75,0,,,,1,2,kert,.5
278,teuf(infertile),6,15,kert,3.75,0,,,,0,,,
279,lem (fertile),0,,,,0,,,,0,,,
279,lem-teuf,1,8,kert,2,0,,,,0,,,
279,teuf(infertile),1,12,kert,3,0,,,,0,,,
280,lem (fertile),1,2,kert,.5,0,,,,0,,,
280,lem-teuf,3,7,kert,1.75,0,,,,3,6,kert,1.5
280,teuf(infertile),0,,,,0,,,,0,,,
281,lem (fertile),3,6.5,kert,1.625,0,,,,0,,,
281,lem-teuf,1,1,kert,.25,0,,,,0,,,
281,teuf(infertile),1,.5,kert,.125,0,,,,0,,,
282,lem (fertile),1,1,kert,.25,0,,,,0,,,
282,lem-teuf,2,10,kert,2.5,0,,,,0,,,
282,teuf(infertile),0,,,,0,,,,0,,,
283,lem (fertile),3,3,kert,.75,0,,,,0,,,
283,lem-teuf,1,8,kert,2,0,,,,0,,,
283,teuf(infertile),0,,,,0,,,,0,,,
284,lem (fertile),0,,,,0,,,,0,,,
284,lem-teuf,3,9,kert,2.25,0,,,,0,,,
284,teuf(infertile),0,,,,0,,,,0,,,
285,lem (fertile),0,,,,0,,,,0,,,
285,lem-teuf,3,17,kert,4.25,0,,,,1,4,kert,1
285,teuf(infertile),0,,,,0,,,,0,,,
286,lem (fertile),2,5,kert,1.25,0,,,,0,,,
286,lem-teuf,1,2,kert,.5,0,,,,1,4,kert,1
286,teuf(infertile),0,,,,0,,,,0,,,
287,lem (fertile),1,2,kert,.5,0,,,,0,,,
287,lem-teuf,1,2,kert,.5,0,,,,1,2,kert,.5
287,teuf(infertile),0,,,,0,,,,0,,,
288,lem (fertile),0,,,,0,,,,0,,,
288,lem-teuf,0,,,,0,,,,3,4,kert,1
288,teuf(infertile),0,,,,0,,,,0,,,
289,lem (fertile),1,16,kert,4,0,,,,0,,,
289,lem-teuf,0,,,,0,,,,0,,,
289,teuf(infertile),2,7,kert,1.75,0,,,,0,,,
290,lem (fertile),1,4,kert,1,0,,,,0,,,
290,lem-teuf,2,6,kert,1.5,0,,,,0,,,
290,teuf(infertile),0,,,,0,,,,0,,,
291,lem (fertile),1,4,kert,1,0,,,,0,,,
291,lem-teuf,2,6,kert,1.5,0,,,,0,,,
291,teuf(infertile),0,,,,0,,,,0,,,
292,lem (fertile),3,10,kert,2.5,0,,,,0,,,
292,lem-teuf,3,13,kert,3.25,0,,,,2,5,kert,1.25
292,teuf(infertile),0,,,,0,,,,0,,,
293,lem (fertile),0,,,,0,,,,0,,,
293,lem-teuf,7,14,kert,3.5,0,,,,0,,,
293,teuf(infertile),0,,,,0,,,,0,,,
294,lem (fertile),0,,,,0,,,,0,,,
294,lem-teuf,2,3,kert,.75,0,,,,3,4,kert,1
294,teuf(infertile),0,,,,0,,,,0,,,
295,lem (fertile),0,,,,0,,,,0,,,
295,lem-teuf,6,12.5,kert,3.125,0,,,,0,,,
295,teuf(infertile),0,,,,0,,,,0,,,
296,lem (fertile),1,3,kert,.75,0,,,,0,,,
296,lem-teuf,3,3,kert,.75,0,,,,4,4,kert,1
296,teuf(infertile),0,,,,0,,,,0,,,
297,lem (fertile),2,4,kert,1,0,,,,0,,,
297,lem-teuf,4,11,kert,2.75,0,,,,2,6,kert,1.5
297,teuf(infertile),0,,,,0,,,,0,,,
298,lem (fertile),1,3,kert,.75,0,,,,1,4,kert,1
298,lem-teuf,3,6,kert,1.5,0,,,,0,,,
298,teuf(infertile),2,4,kert,1,0,,,,0,,,
299,lem (fertile),3,14,kert,3.5,0,,,,0,,,
299,lem-teuf,3,9,kert,2.25,0,,,,0,,,
299,teuf(infertile),0,,,,0,,,,0,,,
300,lem (fertile),0,,,,0,,,,0,,,
300,lem-teuf,10,26,kert,6.5,0,,,,0,,,
300,teuf(infertile),0,,,,0,,,,0,,,
301,lem (fertile),0,,,,0,,,,0,,,
301,lem-teuf,3,20,kert,5,0,,,,2,6,kert,1.5
301,teuf(infertile),0,,,,0,,,,0,,,
302,lem (fertile),1,2,kert,.5,0,,,,0,,,
302,lem-teuf,6,13,kert,3.25,0,,,,1,2,kert,.5
302,teuf(infertile),1,2,kert,.5,0,,,,0,,,
303,lem (fertile),2,5,kert,1.25,0,,,,1,2,kert,.5
303,lem-teuf,2,3,kert,.75,0,,,,1,3,kert,.75
303,teuf(infertile),0,,,,0,,,,0,,,
304,lem (fertile),2,4,kert,1,0,,,,0,,,
304,lem-teuf,0,,,,0,,,,0,,,
304,teuf(infertile),0,,,,0,,,,0,,,
305,lem (fertile),1,5,kert,1.25,0,,,,0,,,
305,lem-teuf,0,,,,0,,,,0,,,
305,teuf(infertile),0,,,,0,,,,0,,,
306,lem (fertile),3,13,kert,3.25,1,5,kert,1.25,0,,,
306,lem-teuf,2,9,kert,2.25,0,,,,0,,,
306,teuf(infertile),0,,,,0,,,,0,,,
307,lem (fertile),0,,,,0,,,,0,,,
307,lem-teuf,4,8.5,kert,2.125,0,,,,0,,,
307,teuf(infertile),0,,,,0,,,,0,,,
308,lem (fertile),0,,,,0,,,,0,,,
308,lem-teuf,3,9,kert,2.25,0,,,,0,,,
308,teuf(infertile),0,,,,0,,,,0,,,
309,lem (fertile),0,,,,0,,,,0,,,
309,lem-teuf,3,7,kert,1.75,0,,,,0,,,
309,teuf(infertile),0,,,,0,,,,1,2,kert,.5
310,lem (fertile),3,5.5,kert,1.375,0,,,,0,,,
310,lem-teuf,3,4,kert,1,0,,,,0,,,
310,teuf(infertile),0,,,,0,,,,0,,,
311,lem (fertile),0,,,,0,,,,0,,,
311,lem-teuf,1,8,kert,2,0,,,,0,,,
311,teuf(infertile),4,13,kert,3.25,0,,,,0,,,
312,lem (fertile),2,5,kert,1.25,0,,,,0,,,
312,lem-teuf,0,,,,0,,,,1,5,kert,1.25
312,teuf(infertile),0,,,,0,,,,0,,,
313,lem (fertile),1,2,kert,.5,0,,,,0,,,
313,lem-teuf,3,4.5,kert,1.125,0,,,,3,4,kert,1
313,teuf(infertile),0,,,,0,,,,0,,,
314,lem (fertile),0,,,,0,,,,0,,,
314,lem-teuf,1,1,kert,.25,0,,,,1,4,kert,5
314,teuf(infertile),0,,,,0,,,,8,19,kert,4.75
315,lem (fertile),4,12,kert,3,0,,,,0,,,
315,lem-teuf,4,6,kert,1.5,0,,,,3,10,kert,2.5
315,teuf(infertile),0,,,,0,,,,0,,,
316,lem (fertile),0,,,,0,,,,0,,,
316,lem-teuf,6,16,kert,4,0,,,,1,4,kert,1
316,teuf(infertile),0,,,,0,,,,0,,,
317,lem (fertile),2,10.75,kert,2.6875,0,,,,0,,,
317,lem-teuf,2,5,kert,1.25,3,6,kert,1.5,0,,,
317,teuf(infertile),0,,,,0,,,,0,,,
318,lem (fertile),1,2,kert,.5,0,,,,0,,,
318,lem-teuf,2,4,kert,1,0,,,,4,8,kert,2
318,teuf(infertile),0,,,,0,,,,0,,,
319,lem (fertile),1,1,kert,.25,0,,,,0,,,
319,lem-teuf,3,7,kert,1.75,0,,,,0,,,
319,teuf(infertile),0,,,,0,,,,0,,,
320,lem (fertile),0,,,,0,,,,0,,,
320,lem-teuf,1,1,kert,.25,0,,,,0,,,
320,teuf(infertile),1,4,kert,1,0,,,,1,2,kert,.5
321,lem (fertile),0,,,,0,,,,0,,,
321,lem-teuf,3,7,kert,1.75,0,,,,0,,,
321,teuf(infertile),1,2,kert,.5,0,,,,0,,,
322,lem (fertile),3,5,kert,1.25,0,,,,1,2,kert,.5
322,lem-teuf,3,6,kert,1.5,0,,,,0,,,
322,teuf(infertile),0,,,,0,,,,5,9,kert,2.25
323,lem (fertile),0,,,,0,,,,1,6,kert,1.5
323,lem-teuf,1,2,kert,.5,0,,,,0,,,
323,teuf(infertile),0,,,,0,,,,0,,,
324,lem (fertile),1,3,kert,.75,0,,,,0,,,
324,lem-teuf,3,3,kert,.75,0,,,,0,,,
324,teuf(infertile),0,,,,0,,,,0,,,
325,lem (fertile),2,4.25,timad,1.0625,0,,,,0,,,
325,lem-teuf,2,4,timad,1,0,,,,0,,,
325,teuf(infertile),0,,,,0,,,,0,,,
326,lem (fertile),0,,,,0,,,,0,,,
326,lem-teuf,4,18,kert,4.5,0,,,,0,,,
326,teuf(infertile),0,,,,0,,,,0,,,
327,lem (fertile),2,2,kert,.5,0,,,,0,,,
327,lem-teuf,1,8,kert,2,0,,,,0,,,
327,teuf(infertile),1,1,kert,.25,0,,,,0,,,
328,lem (fertile),2,7,kert,1.75,0,,,,0,,,
328,lem-teuf,2,6,kert,1.5,0,,,,1,2,kert,.5
328,teuf(infertile),0,,,,0,,,,0,,,
329,lem (fertile),0,,,,0,,,,0,,,
329,lem-teuf,2,6,kert,1.5,0,,,,1,2,kert,.5
329,teuf(infertile),0,,,,0,,,,0,,,
330,lem (fertile),5,8,kert,2,0,,,,0,,,
330,lem-teuf,0,,,,0,,,,0,,,
330,teuf(infertile),0,,,,0,,,,0,,,
331,lem (fertile),1,2,kert,.5,0,,,,1,2,kert,.5
331,lem-teuf,0,,,,0,,,,0,,,
331,teuf(infertile),0,,,,0,,,,0,,,
332,lem (fertile),0,,,,0,,,,0,,,
332,lem-teuf,1,2,kert,.5,0,,,,1,6,kert,1.5
332,teuf(infertile),0,,,,0,,,,0,,,
333,lem (fertile),1,1,kert,.25,0,,,,1,1,kert,.25
333,lem-teuf,3,6,kert,1.5,0,,,,1,2,kert,.5
333,teuf(infertile),0,,,,0,,,,0,,,
334,lem (fertile),0,,,,0,,,,1,2,kert,.5
334,lem-teuf,0,,,,0,,,,1,3,kert,.75
334,teuf(infertile),1,.5,kert,.125,0,,,,0,,,
335,lem (fertile),0,,,,0,,,,0,,,
335,lem-teuf,5,7,kert,1.75,0,,,,0,,,
335,teuf(infertile),0,,,,0,,,,0,,,
336,lem (fertile),1,2,kert,.5,0,,,,0,,,
336,lem-teuf,1,1,kert,.25,0,,,,2,5,kert,1.25
336,teuf(infertile),0,,,,0,,,,0,,,
337,lem (fertile),1,4,kert,1,0,,,,0,,,
337,lem-teuf,0,,,,0,,,,0,,,
337,teuf(infertile),0,,,,0,,,,0,,,
338,lem (fertile),0,,,,0,,,,3,24,kert,6
338,lem-teuf,1,4,kert,1,0,,,,3,9,kert,2.25
338,teuf(infertile),0,,,,0,,,,2,8.5,kert,2.125
339,lem (fertile),2,2,timad,.5,0,,,,0,,,
339,lem-teuf,1,3,timad,.75,0,,,,2,7.5,timad,1.875
339,teuf(infertile),0,,,,0,,,,0,,,
340,lem (fertile),0,,,,0,,,,1,2,kert,.5
340,lem-teuf,0,,,,0,,,,4,6,kert,1.5
340,teuf(infertile),1,2,kert,.5,0,,,,0,,,
341,lem (fertile),1,1,kert,.25,0,,,,0,,,
341,lem-teuf,6,16,kert,4,0,,,,1,5,kert,1.25
341,teuf(infertile),0,,,,0,,,,0,,,
342,lem (fertile),1,2,kert,.5,0,,,,1,2,kert,.5
342,lem-teuf,2,6.5,kert,1.625,0,,,,0,,,
342,teuf(infertile),0,,,,0,,,,0,,,
343,lem (fertile),0,,,,0,,,,0,,,
343,lem-teuf,3,6,kert,1.5,0,,,,2,5,kert,1.25
343,teuf(infertile),3,7,kert,1.75,0,,,,0,,,
344,lem (fertile),2,3,kert,.75,0,,,,2,8,kert,2
344,lem-teuf,0,,,,0,,,,2,5,kert,1.25
344,teuf(infertile),0,,,,0,,,,0,,,
345,lem (fertile),1,8,kert,2,0,,,,2,9,kert,2.25
345,lem-teuf,0,,,,0,,,,0,,,
345,teuf(infertile),0,,,,0,,,,0,,,
346,lem (fertile),0,,,,0,,,,0,,,
346,lem-teuf,0,,,,0,,,,2,14,kert,3.5
346,teuf(infertile),0,,,,0,,,,0,,,
347,lem (fertile),0,,,,0,,,,0,,,
347,lem-teuf,2,8,kert,2,0,,,,0,,,
347,teuf(infertile),0,,,,0,,,,0,,,
348,lem (fertile),3,8.5,kert,2.125,0,,,,0,,,
348,lem-teuf,1,1,kert,.25,0,,,,0,,,
348,teuf(infertile),0,,,,0,,,,0,,,
349,lem (fertile),0,,,,0,,,,0,,,
349,lem-teuf,2,4.5,kert,1.125,0,,,,1,1,kert,.25
349,teuf(infertile),0,,,,0,,,,0,,,
350,lem (fertile),1,5,kert,1.25,0,,,,0,,,
350,lem-teuf,3,6,kert,1.5,0,,,,0,,,
350,teuf(infertile),0,,,,0,,,,0,,,
351,lem (fertile),1,1.5,kert,.375,0,,,,0,,,
351,lem-teuf,2,2.5,kert,.625,0,,,,0,,,
351,teuf(infertile),0,,,,0,,,,0,,,
352,lem (fertile),2,5,kert,1.25,0,,,,0,,,
352,lem-teuf,0,,,,0,,,,0,,,
352,teuf(infertile),1,6,kert,1.5,0,,,,0,,,
353,lem (fertile),0,,,,0,,,,0,,,
353,lem-teuf,2,5,kert,1.25,0,,,,0,,,
353,teuf(infertile),0,,,,0,,,,0,,,
37,lem (fertile),2,.75,timad,.1875,0,,,,2,.75,timad,.1875
37,lem-teuf,0,,,,0,,,,0,,,
37,teuf(infertile),1,.75,timad,.1875,0,,,,0,,,
38,lem (fertile),0,,,,0,,,,0,,,
38,lem-teuf,3,2,timad,.5,0,,,,0,,,
38,teuf(infertile),0,,,,0,,,,0,,,
39,lem (fertile),0,,,,0,,,,2,3,other,.375
39,lem-teuf,0,,,,0,,,,0,,,
39,teuf(infertile),0,,,,0,,,,4,15,other,1.875
40,lem (fertile),0,,,,0,,,,0,,,
40,lem-teuf,0,,,,0,,,,0,,,
40,teuf(infertile),4,8,gezem,1,0,,,,0,,,
41,lem (fertile),1,2,gezem,.25,0,,,,0,,,
41,lem-teuf,1,4,gezem,.5,0,,,,0,,,
41,teuf(infertile),1,4,gezem,.5,0,,,,2,4,gezem,.5
42,lem (fertile),0,,,,0,,,,0,,,
42,lem-teuf,3,5.5,gezem,.6875,0,,,,0,,,
42,teuf(infertile),0,,,,0,,,,0,,,
43,lem (fertile),1,2.25,timad,.5625,0,,,,0,,,
43,lem-teuf,0,,,,0,,,,0,,,
43,teuf(infertile),2,3,timad,.75,0,,,,1,1,timad,.25
44,lem (fertile),2,4,timad,1,0,,,,0,,,
44,lem-teuf,0,,,,0,,,,0,,,
44,teuf(infertile),0,,,,0,,,,0,,,
45,lem (fertile),0,,,,0,,,,0,,,
45,lem-teuf,1,1,timad,.25,0,,,,2,1.75,timad,.4375
45,teuf(infertile),3,2.5,timad,.625,0,,,,0,,,
46,lem (fertile),2,1.5,timad,.375,0,,,,0,,,
46,lem-teuf,2,1.5,timad,.375,0,,,,0,,,
46,teuf(infertile),1,1.5,timad,.375,0,,,,0,,,
47,lem (fertile),1,1,gezem,.125,0,,,,0,,,
47,lem-teuf,1,13,gezem,1.625,0,,,,0,,,
47,teuf(infertile),1,2,gezem,.25,0,,,,0,,,
48,lem (fertile),0,,,,0,,,,0,,,
48,lem-teuf,0,,,,0,,,,0,,,
48,teuf(infertile),3,4.5,timad,1.125,0,,,,0,,,
49,lem (fertile),2,8,gezem,1,0,,,,0,,,
49,lem-teuf,0,,,,0,,,,0,,,
49,teuf(infertile),0,,,,0,,,,0,,,
50,lem (fertile),3,5,timad,1.25,0,,,,1,1,timad,.25
50,lem-teuf,0,,,,0,,,,0,,,
50,teuf(infertile),1,2,timad,.5,0,,,,0,,,
51,lem (fertile),2,4,timad,1,0,,,,0,,,
51,lem-teuf,1,1,timad,.25,0,,,,1,2,timad,.25
51,teuf(infertile),0,,,,0,,,,0,,,
52,lem (fertile),2,2,timad,.5,0,,,,1,.5,timad,.125
52,lem-teuf,0,,,,0,,,,0,,,
52,teuf(infertile),1,2,timad,.5,0,,,,0,,,
53,lem (fertile),3,3.75,gemad,.9375,0,,,,0,,,
53,lem-teuf,0,,,,0,,,,0,,,
53,teuf(infertile),2,4,gemad,1,0,,,,0,,,
54,lem (fertile),2,5,gezem,.625,0,,,,0,,,
54,lem-teuf,0,,,,0,,,,0,,,
54,teuf(infertile),3,7,gezem,.875,0,,,,0,,,
55,lem (fertile),2,6,gezem,.75,0,,,,0,,,
55,lem-teuf,1,4,gezem,.5,0,,,,0,,,
55,teuf(infertile),1,4,gezem,.5,0,,,,0,,,
56,lem (fertile),2,2.5,timad,.625,0,,,,0,,,
56,lem-teuf,0,,,,0,,,,0,,,
56,teuf(infertile),2,1,timad,.25,0,,,,0,,,
57,lem (fertile),2,1.5,timad,.375,0,,,,0,,,
57,lem-teuf,0,,,,0,,,,0,,,
57,teuf(infertile),1,1,timad,.25,0,,,,0,,,
58,lem (fertile),3,5.5,gezem,1.6875,0,,,,1,1,gezem,.125
58,lem-teuf,0,,,,0,,,,0,,,
58,teuf(infertile),0,,,,0,,,,0,,,
59,lem (fertile),2,5,gezem,.625,0,,,,0,,,
59,lem-teuf,0,,,,0,,,,0,,,
59,teuf(infertile),1,6,gezem,.75,0,,,,0,,,
60,lem (fertile),0,,,,0,,,,1,3,gezem,.375
60,lem-teuf,1,3,gezem,.375,0,,,,0,,,
60,teuf(infertile),1,3,gezem,.375,0,,,,1,4,gezem,.5
61,lem (fertile),0,,,,0,,,,0,,,
61,lem-teuf,2,1.5,timad,.375,0,,,,1,.75,timad,.1875
61,teuf(infertile),2,1.75,timad,.4375,0,,,,0,,,
62,lem (fertile),1,1,gezem,.125,0,,,,1,3,gezem,.375
62,lem-teuf,1,1,gezem,.125,0,,,,0,,,
62,teuf(infertile),1,2,gezem,.25,0,,,,0,,,
63,lem (fertile),2,9,gezem,1.125,0,,,,0,,,
63,lem-teuf,0,,,,0,,,,0,,,
63,teuf(infertile),0,,,,0,,,,0,,,
64,lem (fertile),2,5,gezem,.625,0,,,,2,5,gezem,.625
64,lem-teuf,2,4,gezem,.5,0,,,,2,5,gezem,.625
64,teuf(infertile),1,2,gezem,.25,0,,,,0,,,
65,lem (fertile),2,1.5,gemad,.375,0,,,,1,1,gemad,.25
65,lem-teuf,0,,,,0,,,,0,,,
65,teuf(infertile),4,2.5,gemad,.625,0,,,,1,.5,gemad,.125
66,lem (fertile),1,2,timad,.5,0,,,,0,,,
66,lem-teuf,0,,,,0,,,,0,,,
66,teuf(infertile),2,1.5,timad,.375,0,,,,0,,,
67,lem (fertile),3,2.75,timad,.6875,1,1,timad,.25,0,,,
67,lem-teuf,0,,,,0,,,,0,,,
67,teuf(infertile),0,,,,0,,,,0,,,
68,lem (fertile),1,4,timad,1,0,,,,3,3,timad,.75
68,lem-teuf,0,,,,0,,,,0,,,
68,teuf(infertile),0,,,,0,,,,1,1,timad,.25
69,lem (fertile),2,2,timad,.5,0,,,,1,1,timad,.25
69,lem-teuf,0,,,,0,,,,0,,,
69,teuf(infertile),3,5,timad,1.25,0,,,,0,,,
70,lem (fertile),0,,,,0,,,,1,2,gezem,.25
70,lem-teuf,0,,,,0,,,,0,,,
70,teuf(infertile),1,3,gezem,.375,0,,,,0,,,
71,lem (fertile),2,2,timad,.5,0,,,,0,,,
71,lem-teuf,0,,,,0,,,,0,,,
71,teuf(infertile),1,1,timad,.25,0,,,,0,,,
72,lem (fertile),0,,,,0,,,,0,,,
72,lem-teuf,2,4,gezem,.5,0,,,,0,,,
72,teuf(infertile),1,3,gezem,.375,0,,,,0,,,
73,lem (fertile),0,,,,2,5,gezem,.625,0,,,
73,lem-teuf,1,1,gezem,.125,1,6,gezem,.75,0,,,
73,teuf(infertile),1,1,gezem,.125,0,,,,0,,,
74,lem (fertile),1,.5,timad,.125,0,,,,0,,,
74,lem-teuf,2,4,timad,1,0,,,,0,,,
74,teuf(infertile),1,.5,timad,.125,0,,,,0,,,
75,lem (fertile),5,7.5,gezem,.9375,0,,,,0,,,
75,lem-teuf,0,,,,0,,,,0,,,
75,teuf(infertile),0,,,,0,,,,0,,,
76,lem (fertile),6,5.5,gemad,1.375,0,,,,0,,,
76,lem-teuf,0,,,,0,,,,0,,,
76,teuf(infertile),1,1.5,gemad,.375,0,,,,0,,,
77,lem (fertile),0,,,,0,,,,1,1.5,gezem,.1875
77,lem-teuf,0,,,,0,,,,0,,,
77,teuf(infertile),0,,,,0,,,,1,3,gezem,.375
78,lem (fertile),4,8.5,gezem,1.0625,0,,,,0,,,
78,lem-teuf,0,,,,0,,,,0,,,
78,teuf(infertile),0,,,,0,,,,0,,,
79,lem (fertile),2,4,timad,1,0,,,,0,,,
79,lem-teuf,3,3.5,timad,.875,0,,,,0,,,
79,teuf(infertile),0,,,,0,,,,0,,,
80,lem (fertile),0,,,,0,,,,0,,,
80,lem-teuf,1,4,gezem,.5,0,,,,0,,,
80,teuf(infertile),1,4,gezem,.5,0,,,,0,,,
81,lem (fertile),1,2,timad,.5,0,,,,0,,,
81,lem-teuf,2,1,timad,.25,0,,,,0,,,
81,teuf(infertile),0,,,,0,,,,0,,,
82,lem (fertile),0,,,,0,,,,0,,,
82,lem-teuf,0,,,,0,,,,0,,,
82,teuf(infertile),1,2,gezem,.25,1,2,gezem,.25,0,,,
83,lem (fertile),0,,,,0,,,,0,,,
83,lem-teuf,2,1.25,timad,.3125,0,,,,0,,,
83,teuf(infertile),4,4.75,timad,1.1875,0,,,,0,,,
84,lem (fertile),2,2,timad,.5,0,,,,0,,,
84,lem-teuf,0,,,,0,,,,0,,,
84,teuf(infertile),2,4,timad,1,0,,,,0,,,
85,lem (fertile),1,2,gezem,.25,0,,,,0,,,
85,lem-teuf,1,4,gezem,.5,0,,,,0,,,
85,teuf(infertile),1,2,gezem,.25,0,,,,0,,,
86,lem (fertile),0,,,,0,,,,1,2,gezem,.25
86,lem-teuf,2,3,gezem,.375,0,,,,0,,,
86,teuf(infertile),3,7,gezem,.875,0,,,,0,,,
87,lem (fertile),0,,,,0,,,,1,1.5,timad,.375
87,lem-teuf,2,3,timad,.75,0,,,,0,,,
87,teuf(infertile),0,,,,0,,,,0,,,
88,lem (fertile),0,,,,0,,,,0,,,
88,lem-teuf,3,2.5,timad,.625,0,,,,1,2,timad,.5
88,teuf(infertile),1,1,timad,.25,0,,,,0,,,
89,lem (fertile),2,3,timad,.75,0,,,,0,,,
89,lem-teuf,1,.5,timad,.125,1,2,timad,.5,0,,,
